entry	name	class	subclass	quality	displayId	inventoryType	reqLevel	itemLevel
820	Slicer Blade	2	15	2	6470	13	12	17
821	Riverpaw Leather Vest	4	2	2	17102	5	8	13
823	Deprecated Horse Summoning (Mount)	15	0	1	7014	0	1	1
826	Brutish Riverpaw Axe	2	0	2	19271	21	10	15
827	Wicked Blackjack	2	4	2	3498	21	12	17
828	Small Blue Pouch	1	0	1	2584	18	0	5
829	Red Leather Bandana	12	0	1	1272	0	0	1
832	Silver Defias Belt	4	3	2	6847	6	10	15
833	Lifestone	4	0	4	22978	12	51	56
835	Large Rope Net	0	0	1	1007	0	2	12
836	Deprecated Heavy Net	0	0	1	1007	0	5	15
837	Heavy Weave Armor	4	1	1	14466	5	12	17
838	Heavy Weave Pants	4	1	1	14468	7	12	17
839	Heavy Weave Gloves	4	1	1	14467	10	12	17
840	Heavy Weave Shoes	4	1	1	16821	8	12	17
841	Furlbrow's Pocket Watch	12	0	1	1270	0	0	1
842	Deprecated Wolf Summoning (Mount)	15	0	1	7015	0	1	1
843	Tanned Leather Boots	4	2	1	14470	8	12	17
844	Tanned Leather Gloves	4	2	1	2101	10	12	17
845	Tanned Leather Pants	4	2	1	9640	7	12	17
846	Tanned Leather Jerkin	4	2	1	14472	5	12	17
847	Chainmail Armor	4	3	1	1019	5	12	17
848	Chainmail Pants	4	3	1	697	7	12	17
849	Chainmail Boots	4	3	1	6869	8	12	17
850	Chainmail Gloves	4	3	1	6871	10	12	17
851	Cutlass	2	7	1	22077	13	10	15
852	Mace	2	4	1	8287	13	9	14
853	Hatchet	2	0	1	22102	13	11	16
854	Quarter Staff	2	10	1	22147	17	11	16
855	Deprecated White Leather Satchel	1	0	1	1281	18	0	15
856	Blue Leather Bag	1	0	1	1025	18	0	15
857	Large Red Sack	1	0	1	4056	18	0	25
858	Lesser Healing Potion	0	0	1	15711	0	3	13
859	Fine Cloth Shirt	4	0	1	9880	4	0	17
860	Cavalier's Boots	4	1	1	3443	8	0	13
862	Runed Ring	4	0	3	18397	11	45	50
863	Gloom Reaper	2	0	2	19213	13	32	37
864	Knightly Longsword	2	7	2	26579	13	33	38
865	Leaden Mace	2	4	2	5212	13	26	31
866	Monk's Staff	2	10	2	20357	17	37	42
867	Gloves of Holy Might	4	2	4	17180	10	37	42
868	Ardent Custodian	2	4	4	19713	21	38	43
869	Dazzling Longsword	2	7	4	5163	21	36	41
870	Fiery War Axe	2	1	4	33458	17	35	40
871	Flurry Axe	2	0	4	19235	13	42	47
872	Rockslicer	2	1	2	19242	17	16	21
873	Staff of Jordan	2	10	4	20298	17	35	40
875	Brown Horse Summoning	15	0	1	6423	0	1	1
876	Worn Wooden Buckler	4	6	0	1680	14	1	1
877	Deprecated Old Skull	12	0	1	7099	0	0	1
878	Fist-sized Spinneret	7	0	0	9200	0	0	20
880	Staff of Horrors	2	10	2	20382	17	18	23
883	Deprecated Fire Eyed Skull	12	0	1	7088	0	0	1
884	Ghoul Rib	12	0	1	6368	0	0	1
885	Black Metal Axe	2	0	2	14036	21	19	24
886	Black Metal Shortsword	2	7	2	20093	21	21	26
887	Pound of Flesh	15	0	0	6680	0	0	25
888	Naga Battle Gloves	4	2	3	17182	10	22	27
889	A Dusty Unsent Letter	12	0	1	3022	0	0	1
890	Twisted Chanter's Staff	2	10	3	20386	17	19	24
892	Gnoll Casting Gloves	4	1	2	16950	10	17	22
893	Dire Wolf Fang	15	0	0	959	0	0	1
894	Deprecated Ravager Claw	15	0	1	6642	0	0	1
895	Worgen Skull	12	0	1	7103	0	0	1
896	Worgen Fang	12	0	1	959	0	0	1
897	Madwolf Bracers	4	2	2	17011	9	24	29
898	Deprecated Broken Venomweb Fang	12	0	1	959	0	0	25
899	Venom Web Fang	2	15	2	6459	13	14	19
900	Deprecated Nightmare Summoning (Mount)	15	0	1	7014	0	1	1
901	Deptecated White Stallion Summoning (Mount)	15	0	1	7014	0	1	1
902	Deprecated Palomino Summoning (Mount)	15	0	1	7014	0	1	1
903	Deprecated Pinto Summoning (Mount)	15	0	1	7014	0	1	1
905	Brown Leather Shoulderpads (Test)	4	1	1	1057	3	1	1
906	Tan Leather Shoulderpads (Test)	4	1	1	1058	3	1	1
907	Black Mail Shoulderpads of might (Test)	4	3	1	6480	3	1	1
908	Plate Shoulderpad (Test)	4	1	1	6545	3	1	1
909	Silver Mail Shoulderpads (Test)	4	1	1	6557	3	1	1
910	An Undelivered Letter	12	0	1	3024	0	0	1
911	Ironwood Treebranch	2	5	2	28628	17	20	25
913	Huge Ogre Sword	2	8	2	20170	17	24	29
914	Large Ogre Chain Armor	4	3	2	2829	5	25	30
915	Red Silk Bandana	12	0	1	1272	0	0	1
916	A Torn Journal Page	12	0	1	7589	0	0	1
917	Deprecated Shadow Leather Armor	4	2	0	1080	5	13	18
918	Deviate Hide Pack	1	0	1	1283	18	0	25
920	Wicked Spiked Mace	2	4	2	19703	21	20	25
921	A Faded Journal Page	12	0	1	7588	0	0	1
922	Dacian Falx	2	8	1	22097	17	21	26
923	Longsword	2	7	1	22080	21	21	26
924	Maul	2	5	1	22131	17	21	26
925	Flail	2	4	1	4351	21	20	25
926	Battle Axe	2	1	1	22108	17	20	25
927	Double Axe	2	0	1	22106	13	19	24
928	Long Staff	2	10	1	22151	17	20	25
929	Healing Potion	0	0	1	15712	0	12	22
930	Deprecated Deep Pocket Pouch	1	0	1	1283	18	0	25
931	Deprecated Heavy Brown Sack	1	0	1	1183	18	0	25
932	Fel Steed Saddlebags	1	0	1	6430	18	0	25
933	Large Rucksack	1	0	1	1282	18	0	25
934	Stalvan's Reaper	2	0	3	19405	13	32	37
935	Night Watch Shortsword	2	7	3	8274	13	15	20
936	Midnight Mace	2	4	3	5215	13	33	38
937	Black Duskwood Staff	2	10	3	20329	17	33	38
938	Muddy Journal Pages	12	0	1	7601	0	0	1
939	A Bloodstained Journal Page	12	0	1	7588	0	0	1
940	Robes of Insight	4	1	4	16676	20	42	47
941	Deprecated Speedstone	4	0	1	6513	12	35	40
942	Freezing Band	4	0	4	9835	11	47	52
943	Warden Staff	2	10	4	20256	17	43	48
944	Elemental Mage Staff	2	10	4	20253	17	56	61
945	Shadow Sword	2	7	1	859	21	1	1
948	Nature Sword	2	7	1	859	21	1	1
951	Tome of Whirlwind (TEST)	0	0	1	1093	0	1	1
954	Scroll of Strength	0	0	1	3331	0	10	20
955	Scroll of Intellect	0	0	1	2616	0	5	15
956	Deprecated Area Trigger Flag - Jasperlode mine	12	0	1	7084	0	0	1
957	William's Shipment	12	0	1	7286	0	0	1
958	Deprecated Area Trigger Flag - Darkhollow Mine	12	0	1	7084	0	0	1
960	Deprecated Area Trigger Flag - Fargodeep	12	0	1	7084	0	0	1
961	Healing Herb	0	0	1	6387	0	0	5
962	Pork Belly Pie	12	0	1	6385	0	0	1
964	Deprecated Red Linen Shirt	4	0	1	9744	4	0	8
965	Deprecated Red Linen Sack	1	0	1	981	18	0	15
966	Tome of Frost Shield	9	0	1	1103	0	8	8
967	Tome of Frost Ward	9	0	1	1103	0	22	22
968	Tome of Fire Blast	9	0	1	1103	0	6	6
973	Tome of Fireball II	9	0	1	1103	0	12	12
974	Tome of Frost Armor II	9	0	1	1103	0	10	10
975	Tome of Chains of Ice	9	0	1	1103	0	10	10
976	Tome of Remove Curse	9	0	1	1103	0	18	18
980	Tome of Frost Shield II	9	0	1	1103	0	20	20
981	Bernice's Necklace	12	0	1	1399	0	0	1
983	Red Linen Sash	4	1	1	4878	6	0	9
985	Tome of Khadgar's Unlocking	9	0	1	1103	0	18	18
986	Tome of Frostbolt II	9	0	1	1103	0	8	8
989	Tome of Frost Nova	9	0	1	1103	0	10	10
992	Tome of Fireball III	9	0	1	1103	0	12	12
994	Tome of Ice Armor	9	0	1	1103	0	30	30
996	Ring of Righteous Flame (TEST)	4	0	1	3453	11	1	2
997	Fire Sword of Crippling	2	7	1	859	21	1	1
1002	Tome of Lesser Invisibility	9	0	1	1103	0	26	26
1004	Tome of Chains of Ice II	9	0	1	1103	0	30	30
1006	Brass Collar	12	0	1	224	0	0	1
1008	Well-used Sword	2	7	1	1550	21	0	10
1009	Compact Hammer	2	4	2	8583	21	0	13
1010	Gnarled Short Staff	2	10	1	20440	17	0	8
1011	Sharp Axe	2	0	1	19273	21	0	8
1013	Iron Rivet	12	0	1	1236	0	0	1
1014	Large Moneybag (old)	1	0	1	1183	18	0	25
1015	Lean Wolf Flank	7	0	1	6348	0	0	19
1016	Deprecated Lurker Leg	15	0	1	6619	0	0	1
1017	Seasoned Wolf Kabob	0	0	1	1116	0	15	25
1018	Chows Blade of DOOM! (Test)	2	7	1	1121	22	1	1
1019	Red Linen Bandana	12	0	1	1272	0	0	1
1020	Leather Helmet D (Test)	4	2	1	13552	1	1	1
1021	Leather Helmet A (test)	4	2	1	13551	1	1	1
1022	Mail Helmet D (test)	4	2	1	15299	1	1	1
1023	Mail Helmet C (test)	4	2	1	15297	1	1	1
1024	Plate Helmet D2 (test)	4	2	1	15304	1	1	1
1025	Plate Helmet D1 (Test)	4	2	1	15302	1	1	1
1026	Plate Helmet D3 (test)	4	2	1	15305	1	1	1
1027	Mail Helmet A (Test)	4	2	1	15294	1	1	1
1028	Deprecated Dented Skullcap	4	3	0	13275	1	15	20
1029	Tablet of Serpent Totem	9	0	1	5563	0	4	4
1030	Tablet of Unyielding Will	9	0	1	5563	0	10	10
1031	Tablet of Molten Blast	9	0	1	5563	0	6	6
1032	Tablet of Agitating Totem	9	0	1	5563	0	8	8
1033	Tablet of Nullify Poison	9	0	1	5563	0	18	18
1034	Tablet of Undying Strength	9	0	1	5563	0	22	22
1035	Tablet of Call Spirit	9	0	1	5563	0	10	10
1036	Tablet of Nullify Disease	9	0	1	5563	0	16	16
1037	Tablet of Lightning Bolt II	9	0	1	5563	0	10	10
1038	Tablet of Restoration II	9	0	1	5563	0	8	8
1041	Horn of the Black Wolf	15	0	3	16208	0	40	40
1042	Deprecated Summon Winter Wolf (Mount)	15	0	1	7015	0	1	1
1043	Deprecated Summon Redwolf (Mount)	15	0	1	7015	0	1	1
1044	Deprecated Summon Brown Wolf (Mount)	15	0	1	7015	0	1	1
1046	Deprecated Light Blunderbuss	2	3	1	6596	26	1	1
1047	Deprecated Heavy Blunderbuss	2	3	1	6595	26	1	1
1048	Tablet of Lightning Shield II	9	0	1	5563	0	16	16
1049	Tablet of Purge	9	0	1	5563	0	12	12
1052	Tablet of Spirit Armor II	9	0	1	5563	0	14	14
1053	Tablet of Molten Blast II	9	0	1	5563	0	14	14
1057	Tablet of Restoration III	9	0	1	5563	0	16	16
1058	Tablet of Lightning Bolt III	9	0	1	5563	0	18	18
1061	Tablet of Nullify Poison II	9	0	1	5563	0	26	26
1063	Tablet of Nullify Disease II	9	0	1	5563	0	26	26
1072	Full Moonshine	0	0	1	18080	0	0	25
1074	Hard Spider Leg Tip	15	0	0	6619	0	0	1
1075	Shadowhide Pendant	12	0	1	7236	0	0	1
1076	Defias Renegade Ring	4	0	2	6012	11	20	25
1077	Defias Mage Ring	4	0	2	9836	11	21	26
1078	Deprecated Writ of Lakeshire	12	0	1	811	0	0	1
1080	Tough Condor Meat	7	0	1	25475	0	0	15
1081	Crisp Spider Meat	7	0	1	7345	0	0	15
1082	Redridge Goulash	0	0	1	6406	0	10	20
1083	Glyph of Azora	12	0	1	7133	0	0	1
1084	Codex of Renew	9	0	1	1143	0	8	8
1085	Codex of Mind Vision	9	0	1	1143	0	22	22
1086	Codex of Inner Fire	9	0	1	1143	0	12	12
1087	Codex of Shadow Word: Pain	9	0	1	1143	0	4	4
1088	Codex of Renew II	9	0	1	1143	0	14	14
1089	Codex of Nullify Disease	9	0	1	1143	0	14	14
1090	Codex of Resurrection	9	0	1	1143	0	10	10
1091	Codex of Holy Smite II	9	0	1	1143	0	6	6
1092	Codex of Lesser Heal II	9	0	1	1143	0	4	4
1093	Codex of Remove Curse	9	0	1	1143	0	22	22
1095	Codex of Dispel Magic	9	0	1	1143	0	18	18
1096	Codex of Shadow Word: Pain II	9	0	1	1143	0	10	10
1099	Deprecated Codex of Sustenance II	9	0	1	1143	0	21	21
1100	Codex of Holy Smite III	9	0	1	1143	0	14	14
1101	Codex of Renew V	9	0	1	1143	0	32	32
1102	Codex of Lesser Heal III	9	0	1	1143	0	10	10
1105	Codex of Renew VI	9	0	1	1143	0	38	38
1108	Codex of Renew III	9	0	1	1143	0	20	20
1109	Codex of Dominate	9	0	1	1143	0	30	30
1111	Codex of Sleep	9	0	1	1143	0	6	6
1112	Codex of Holy Word: Fortitude II	9	0	1	1143	0	12	12
1113	Conjured Bread	0	0	1	6413	0	5	15
1114	Conjured Rye	0	0	1	6343	0	15	25
1115	Deprecated Ragged Scalp	12	0	1	7097	0	0	1
1116	Ring of Pure Silver	4	0	2	6011	11	0	31
1117	Monster - Item, Fishing Pole	2	4	0	7453	13	1	1
1119	Bottled Spirits	0	0	1	18077	0	0	25
1121	Feet of the Lynx	4	2	3	703	8	19	24
1122	Deprecated Amulet of the White Stallion	4	0	1	6494	2	40	45
1123	Deprecated Amulet of the Pinto	4	0	1	6494	2	40	45
1124	Deprecated Amulet of the Palomino	4	0	1	6494	2	40	45
1125	Deprecated Amulet of the Nightmare	4	0	1	6494	2	40	45
1127	Flash Bundle	0	0	1	1816	0	0	20
1128	Deprecated [PH] Redridge Rye	0	0	1	1150	0	0	1
1129	Ghoul Fang	12	0	1	7129	0	0	1
1130	Vial of Spider Venom	12	0	1	1288	0	0	1
1131	Totem of Infliction	4	0	2	9557	23	0	25
1132	Horn of the Timber Wolf	15	0	3	16208	0	40	40
1133	Horn of the Winter Wolf	15	0	3	16207	0	40	40
1134	Horn of the Gray Wolf	15	0	3	16207	0	40	40
1136	Libram: Divine Favor II	9	0	1	1155	0	18	18
1138	Libram: Divine Favor	9	0	1	1155	0	4	4
1139	Libram: Cleanse	9	0	1	1155	0	30	30
1141	Libram: Holy Light II	9	0	1	1155	0	6	6
1144	Libram: Divine Shield	9	0	1	1155	0	34	34
1146	Libram: Resurrection	9	0	1	1155	0	12	12
1149	Libram: Seal of Might II	9	0	1	1155	0	20	20
1150	Libram: Purify	9	0	1	1155	0	6	6
1151	Libram: Holy Light III	9	0	1	1155	0	14	14
1154	Belt of the People's Militia	4	3	1	6833	6	0	14
1155	Rod of the Sleepwalker	2	10	3	20327	17	24	29
1156	Lavishly Jeweled Ring	4	0	3	9839	11	17	22
1157	Deprecated Militia Handaxe	2	0	0	5066	21	1	4
1158	Solid Metal Club	2	4	1	19643	21	0	10
1159	Militia Quarterstaff	2	10	1	4994	17	0	5
1161	Militia Shortsword	2	7	1	1544	21	0	5
1162	Pirates Patch (Test)	4	1	1	13219	1	5	10
1163	Dwarven Explorer's Monocle (Test)	4	1	1	13218	1	5	10
1164	Sam's Tome	9	0	1	634	0	0	1
1165	Test Food	0	0	1	6422	0	1	1
1166	Dented Buckler	4	6	1	2208	14	1	5
1167	Small Targe	4	6	1	18506	14	5	10
1168	Skullflame Shield	4	6	4	30993	14	54	59
1169	Blackskull Shield	4	6	4	18816	14	41	46
1170	Deprecated Brown Leather Vest	4	2	1	8647	5	0	8
1171	Well-stitched Robe	4	1	1	12707	20	0	10
1172	Grayson's Torch	4	0	2	12313	23	0	21
1173	Weather-worn Boots	4	2	1	6777	8	0	10
1174	Deprecated Light Soldier Boots	4	3	1	6956	8	0	10
1175	A Gold Tooth	15	0	0	6659	0	0	1
1176	Smelling Salts	0	0	1	6412	0	0	8
1177	Oil of Olaf	0	0	1	6400	0	0	8
1178	Explosive Rocket	0	0	1	6336	0	0	8
1179	Ice Cold Milk	0	0	1	18090	0	5	15
1180	Scroll of Stamina	0	0	1	1093	0	5	15
1181	Scroll of Spirit	0	0	1	2616	0	1	10
1182	Brass-studded Bracers	4	3	1	6852	9	0	10
1183	Elastic Wristguards	4	1	1	16927	9	0	10
1184	Deprecated Scarlet Badge	4	0	0	6510	12	0	40
1186	Deprecated Gnoll Taskmaster Whip	4	0	0	6503	12	35	40
