entry	name	subname	level_min	level_max	rank	type	display_id	display_scale
114	Harvest Watcher		14	15	0	9	378	0
115	Harvest Reaper		17	18	0	9	379	0
116	Defias Bandit		8	9	0	7	2357	0
117	Riverpaw Gnoll		11	12	0	7	175	0
118	Prowler		9	10	0	1	11415	0
119	Longsnout		10	11	0	1	381	0
120	Forest Stalker		9	10	0	1	366	1
121	Defias Pathstalker		15	16	0	7	2336	0
122	Defias Highwayman		17	18	0	7	2342	0
123	Riverpaw Mongrel		13	14	0	7	383	0
124	Riverpaw Brute		15	16	0	7	384	0
125	Riverpaw Overseer		19	20	0	7	10790	0
126	Murloc Coastrunner		12	13	0	7	983	0
127	Murloc Tidehunter		18	19	0	7	1995	0
128	Angry Programmer Tweedle Dee	Testing	59	59	0	10	1415	3
129	Angry Programmer Tweedle Dum		50	50	0	10	138	1
130	Programmer Vendor		62	62	0	7	62	1
149	[UNUSED] Small Black Dragon Whelp		6	7	0	2	387	1
150	[UNUSED] Brother Milius	Bowyer	5	5	0	7	190	1
151	Brog Hamfist	General Supplies	10	10	0	7	1292	0
152	Brother Danil	General Supplies	5	5	0	7	3277	0
153	Bethina	iCoke Redemption Vendor	35	35	0	7	14947	1
154	Greater Fleshripper		16	17	0	1	1105	0
157	Goretusk		14	15	0	1	3027	0
161	[UNUSED] Ander the Monk		10	10	0	7	18	1
163	[UNUSED] Destitute Farmer		4	4	0	7	18	1
165	[UNUSED] Small Child		1	1	0	7	390	1
167	Morhan Coppertongue	Metalsmith	13	13	0	7	1844	0
171	Murloc Warrior		15	16	0	7	1305	0
190	Dermot Johns	Cloth & Leather Armor Merchant	5	5	0	7	3276	0
192	Ice Troll		62	62	0	7	195	1
193	Blue Dragonspawn		50	51	1	2	196	0
196	Eagan Peltskinner		3	3	0	7	3251	0
197	Marshal McBride		20	20	0	7	1859	0
198	Khelden Bremen	Mage Trainer	5	5	0	7	5001	0
199	Young Fleshripper		10	11	0	1	410	0
200	Shambling Skeleton UNUSED		20	21	0	6	158	1
201	Brittlebones Skeleton UNUSED		1	1	0	6	732	1
202	Skeletal Horror		23	24	0	6	9786	0
203	Skeletal Mage		22	23	0	6	9783	0
204	[UNUSED] Cackle Flamebone		28	28	0	6	200	1
205	Nightbane Dark Runner		28	29	0	7	736	0
206	Nightbane Vile Fang		29	30	0	7	522	0
207	[UNUSED] Riverpaw Hideflayer		25	26	0	7	376	1
208	[UNUSED] Riverpaw Pack Warder		23	24	0	7	383	1
209	[UNUSED] Riverpaw Bone Chanter		24	25	0	7	413	1
210	Bone Chewer		26	27	0	6	570	0
211	Ogre		29	30	0	7	415	1
212	Splinter Fist Warrior		29	30	0	7	610	0
213	Starving Dire Wolf		19	20	0	1	801	0
215	Defias Night Runner		24	25	0	7	4276	0
217	Venom Web Spider		19	20	0	1	955	0
218	Grave Robber		24	25	0	7	4275	0
219	[UNUSED] Logan Mar	Cloth & Leather Armor Merchant	20	20	0	7	17	1
220	[UNUSED] Khebil Steelsmith	Weaponsmith	17	17	0	7	17	1
221	Dannus	Merchant	17	17	0	7	23	1
222	Nillen Andemar	Macecrafter	19	19	0	7	1845	0
223	Dan Golthas	Journeyman Leatherworker	23	23	0	7	10619	0
224	Zek Marston	Weapon Peddler	15	15	0	7	20	1
225	Gavin Gnarltree	Weaponsmith	30	30	0	7	4331	0
226	Morg Gnarltree	Armorer	30	30	0	7	4332	0
227	Mabel Solaj	General Goods Vendor	26	26	0	7	4340	0
228	Avette Fellwood	Bowyer	24	24	0	7	4334	0
229	Vaious		1	1	0	7	17	1
230	Thornton Fellwood	Woodcrafter	1	1	0	7	4335	1
232	Farmer Ray		23	23	0	7	3614	0
233	Farmer Saldean		20	20	0	7	1943	0
234	Gryan Stoutmantle	The People's Militia	35	35	1	7	1690	0
235	Salma Saldean		20	20	0	7	1691	0
237	Farmer Furlbrow		20	20	0	7	1944	0
238	Verna Furlbrow		20	20	0	7	1692	0
239	Grimbooze Thunderbrew		20	20	0	7	3265	0
240	Marshal Dughan		25	25	0	7	1985	0
241	Remy "Two Times"		5	5	0	7	3254	0
242	Horras Brackwell		10	10	0	7	214	1
243	[UNUSED] Greeby Mudwhisker TEST		5	5	0	7	163	1
244	Ma Stonefield		3	3	0	7	3330	0
246	"Auntie" Bernice Stonefield		6	6	0	7	3329	0
247	Billy Maclure		1	1	0	7	221	0
248	Gramma Stonefield		3	3	0	7	2959	0
250	Pa Maclure		6	6	0	7	3327	0
251	Maybell Maclure		2	2	0	7	3323	0
252	Tommy Joe Stonefield		2	2	0	7	3331	0
253	William Pestle		6	6	0	7	5038	0
255	Gerard Tiller		6	6	0	7	3324	0
257	Kobold Worker		3	3	0	7	10912	0
258	Joshua Maclure	Vintner	5	5	0	7	3328	0
260	[UNUSED] Elwynn Tower Guard		22	22	0	7	164	1
261	Guard Thomas		30	30	0	7	1984	0
262	Half-eaten body		1	1	0	3	433	1
263	Lord Ello Ebonlocke	Mayor of Darkshire	30	30	0	7	4321	0
264	Commander Althea Ebonlocke	Leader of The Night Watch	45	45	0	7	4322	0
265	Madame Eva		25	25	0	7	4323	0
266	Wiley the Black		26	26	0	7	1741	0
267	Clerk Daltry		31	31	0	7	1720	0
268	Sirra Von'Indi	Historian of Darkshire	24	24	0	7	4324	0
269	Role Dreuger	Deputy Mayor of Darkshire	40	40	0	7	4309	0
270	Councilman Millstipe	Council of Darkshire	28	28	0	7	1724	0
271	Ambassador Berrybuck	Council of Darkshire	30	30	0	7	1713	0
272	Chef Grual		30	30	0	7	1715	0
273	Tavernkeep Smitts		22	22	0	7	1731	0
274	Barkeep Hann	Bartender	26	26	0	7	5039	0
275	Whit Wantmal		27	27	0	7	1734	0
276	Viktori Prism'Antras		28	28	0	7	4326	0
277	Roberto Pupellyverbos	Merlot Connoisseur	30	30	0	7	1433	0
278	Sara Timberlain		5	5	0	7	3268	0
279	Morgan Pestle		30	30	0	7	5082	0
280	Placeholder - Jasperlode Mine	Area Trigger	62	62	0	3	68	1
281	Kobold Tank		7	8	0	7	139	1
282	Kobold Spellcaster		7	8	0	7	139	1
283	Kobold Healer		7	8	0	7	139	1
284	Riding Horse (Brown)		1	1	0	1	2404	0
285	Murloc		6	7	0	7	617	0
286	Old Rotten Gill		11	11	0	7	346	1
287	Placeholder - Darkhollow Mine		62	62	0	3	68	1
288	Jitters		25	25	0	7	4325	0
289	Abercrombie	The Hermit	35	35	0	7	4328	0
290	Placeholder - Fargodeep Mine	Area Trigger	62	62	0	3	68	1
291	Placeholder Chest of Drawers	Placeholder!	62	62	0	3	31	1
294	Marshal Haggard		20	20	0	7	1689	0
295	Innkeeper Farley	Innkeeper	30	30	0	7	1291	0
296	[UNUSED] Goodmother Jans		20	21	0	7	232	1
297	Caretaker Folsom		30	30	0	7	1756	0
298	[UNUSED] Aunt Bethda	<Needs Texture>	62	62	0	7	2583	1
299	Young Wolf		1	1	0	1	447	0.7
300	Zzarc' Vul		30	30	0	7	655	0
301	[UNUSED] Brog'Mud		31	31	0	7	33	1
302	Blind Mary		40	40	0	6	915	0
303	Placeholder Interactive Doodad - jk	Use Your Imagination	62	62	0	1	38	1
304	Riding Horse (Felsteed)		1	1	0	3	2346	0
305	Riding Horse (White Stallion)		1	1	0	1	2410	0
306	Riding Horse (Palomino)		1	1	0	1	2408	0
307	Riding Horse (Pinto)		1	1	0	1	2409	0
308	Riding Horse (Black Stallion)		1	1	0	1	2402	0
309	Rolf's corpse		1	1	0	3	433	1
311	Sven Yorgen		20	20	0	7	4327	0
313	Theocritus	Mage of Tower Azora	24	24	0	7	3348	0
314	Eliza	Bride of the Embalmer	31	31	1	6	10487	0
315	Stalvan Mistmantle		32	32	0	6	1562	0
318	[UNUSED] Brother Akil		5	5	0	7	190	1
319	[UNUSED] Brother Benthas		5	5	0	7	190	1
320	[UNUSED] Brother Cryus		5	5	0	7	190	1
321	[UNUSED] Brother Deros		5	5	0	7	190	1
322	[UNUSED] Brother Enoch		5	5	0	7	190	1
323	[UNUSED] Brother Farthing		10	10	0	7	190	1
324	[UNUSED] Brother Greishan		10	10	0	7	190	1
325	Hogan Ference		20	20	0	7	4320	0
326	[UNUSED] Brother Ictharin		10	10	0	7	190	1
327	Goldtooth		8	8	0	7	2299	0
328	Zaldimar Wefhellt	Mage Trainer	13	13	0	7	1294	0
329	Earth Elemental		54	55	0	4	453	1
330	Princess		9	9	0	1	8871	0
331	Maginor Dumas	Master Mage	60	60	0	7	1484	0
332	Master Mathias Shaw	Leader of SI:7	62	62	0	7	1736	0
333	[UNUSED] Edwardo the Jester		44	44	0	7	18	1
334	Gath'Ilzogg	Warlord of the Blackrock Clan	26	26	1	7	6050	0
335	Singe		24	24	1	2	497	0
336	[UNUSED] Rin Tal'Vara		62	62	0	7	18	1
338	Mazen Mac'Nadir	Academy of Arcane Arts and Sciences	44	44	0	7	5080	0
339	[UNUSED] Helgor the Pugilist		30	30	0	7	459	1
340	Kendor Kabonka	Master of Cooking Recipes	50	50	0	7	5728	0
341	Foreman Oslow		20	20	0	7	1748	0
342	Martie Jainrose		20	20	0	7	1743	0
343	Chef Breanna		19	19	0	7	3377	0
344	Magistrate Solomon		36	36	0	7	1753	0
345	Bellygrub		24	24	0	1	703	0
346	Barkeep Daniels		21	21	0	7	3370	0
347	Grizzle Halfmane	Alterac Valley Battlemaster	61	61	1	7	15099	0
348	Zem Leeward		25	25	0	7	3359	0
349	Corporal Keeshan		25	25	1	7	1826	0
351	Peasant		1	2	0	7	87	1
352	Dungar Longdrink	Gryphon Master	55	55	1	7	5128	0
353	Antonia Dart	iCoke Redemption Vendor	35	35	0	7	14944	1
354	[UNUSED] Grall Twomoons	Shaman Trainer	10	10	0	7	244	1
356	Riding Wolf (Black)		1	1	0	1	207	0
358	Riding Wolf (Brown)		1	1	0	1	247	0
359	Riding Wolf (Winter)		1	1	0	1	1166	0
361	Saytr		1	1	0	0	467	1
364	Slime		1	1	0	10	358	1
365	Scott's Flying Mount		1	1	0	10	6852	1
370	Boy		1	2	0	7	221	1
371	Girl		1	1	0	7	257	1
372	Karm Ironquill	Mining Supplies	16	16	0	7	8089	0
373	Murak Winterborn	Shaman Trainer	62	62	0	7	240	1
374	Cog Glitzspinner		30	30	0	7	4287	1.15
375	Priestess Anetta	Priest Trainer	5	5	0	7	3344	0
376	High Priestess Laurena	Priest Trainer	60	60	0	7	1495	0
377	Priestess Josetta	Priest Trainer	13	13	0	7	1295	0
379	Darcy	Waitress	15	15	0	7	3367	0
380	[UNUSED] Waldin Thorbatt		25	25	0	7	86	1
381	Dockmaster Baren		20	20	0	7	3360	0
382	Marshal Marris		35	35	0	7	3454	0
383	Jason Mathers	Fishmonger	7	7	0	7	3273	0
384	Katie Hunter	Horse Breeder	10	10	0	7	3270	0
385	Horse		5	5	0	8	229	0
386	[UNUSED] Ulric the Grim	Wolf Merchant	20	20	0	7	19	1
387	Lord Sammuel	Master Paladin	62	62	0	7	21	1
388	Bromos Murphy	Master Paladin	62	62	0	7	21	1
389	Lord Lantinga	Master Paladin	62	62	0	7	21	1
390	Porcine Entourage		7	7	0	1	377	0
391	Old Murk-Eye		20	20	0	7	5243	0
392	Captain Grayson		30	30	0	6	1279	0
393	Tame Wolf		10	10	0	1	165	1
395	Markus		1	1	0	7	262	0
397	Morganth		27	27	1	7	3383	0
399	Boy - placeholder 05		1	2	0	0	251	1
400	Boy - placeholder 06		1	2	0	0	251	1
401	Boy - placeholder 07		1	2	0	0	251	1
402	Boy - placeholder 08		1	2	0	0	251	1
403	Boy - placeholder 09		1	2	0	0	251	1
404	Girl - placeholder 01		1	2	0	0	252	1
405	Girl - placeholder 02		1	2	0	0	252	1
406	Girl - placeholder 03		1	2	0	0	252	1
407	Girl - placeholder 04		1	2	0	0	252	1
408	Girl - placeholder 05		1	2	0	0	252	1
409	Girl - placeholder 06		1	2	0	0	252	1
410	Girl - placeholder 07		1	2	0	0	252	1
411	Girl - placeholder 08		1	2	0	0	252	1
412	Stitches	Gift from the Embalmer	35	35	1	6	1693	0
415	Verner Osgood		25	25	0	7	3358	0
416	Imp		5	5	0	3	4449	0
417	Felhunter		60	60	0	3	850	0.7
418	Lesser Voidwalker		20	20	0	3	1131	1
421	Murphestos		1	1	0	0	149	1
422	Murloc Flesheater		18	19	0	7	506	0
423	Redridge Mongrel		15	16	0	7	487	0
424	Redridge Poacher		16	17	0	7	551	0
426	Redridge Brute		17	18	0	7	500	0
428	Dire Condor		18	19	0	1	490	0
429	Shadowhide Darkweaver		25	26	0	7	491	0
430	Redridge Mystic		18	19	0	7	10789	0
431	Shadowhide Slayer		25	26	0	7	493	0
432	Shadowhide Brute		23	24	0	7	1887	0
433	Shadowhide Gnoll		22	23	0	7	275	0
434	Rabid Shadowhide Gnoll		21	22	0	7	275	0
435	Blackrock Champion		24	25	0	7	6044	0
436	Blackrock Shadowcaster		22	23	1	7	6039	0
437	Blackrock Renegade		21	22	0	7	6037	0
440	Blackrock Grunt		19	20	0	7	6033	0
441	Black Dragon Whelp		17	18	0	2	387	0
442	Tarantula		15	16	0	1	366	0
444	[UNUSED] Goreripper		1	1	0	1	499	1
445	Redridge Alpha		21	22	0	7	609	0
446	Redridge Basher		19	20	0	7	609	0
448	Hogger		11	11	1	7	384	0
449	Defias Knuckleduster		16	17	0	7	2344	0
450	Defias Renegade Mage		18	19	0	7	4420	0
452	Riverpaw Bandit		16	17	0	7	383	0
453	Riverpaw Mystic		18	19	0	7	502	0
454	Young Goretusk		12	13	0	1	8871	0
456	Murloc Minor Oracle		13	14	0	7	486	0
458	Murloc Hunter		16	17	0	7	757	0
459	Drusilla La Salle	Warlock Trainer	5	5	0	7	3345	0
460	Alamar Grimm	Warlock Trainer	5	5	0	7	1930	1.15
461	Demisette Cloyce	Warlock Trainer	60	60	0	7	1469	0
462	Vultros		26	26	4	1	507	0
464	Guard Parker		30	30	0	7	2150	0
465	Barkeep Dobbins	Bartender	10	10	0	7	3266	0
466	General Marcus Jonathan	High Commander of Stormwind Defense	62	62	1	7	1688	0
467	The Defias Traitor		15	15	0	7	2311	0
468	Town Crier		35	35	0	7	4310	0
469	Lieutenant Doren		60	60	1	7	2593	0
470	[UNUSED] Scribe Colburg		35	35	0	7	218	1
471	Mother Fang		10	10	4	1	2541	0
472	Fedfennel		12	12	4	7	175	0
473	Morgan the Collector		10	10	0	7	2074	0
474	Defias Rogue Wizard		9	10	0	7	2359	0
475	Kobold Tunneler		5	6	0	7	139	0
476	Kobold Geomancer		7	8	0	7	163	0
478	Riverpaw Outrunner		9	10	0	7	512	0
480	Rusty Harvest Golem		9	10	0	9	514	0
481	Defias Footpad		10	11	0	7	2333	0
482	Elling Trias	Master of Cheese	30	30	0	7	3246	0
483	Elaine Trias	Mistress of Cheese	30	30	0	7	5546	0
485	Blackrock Outrunner		20	21	0	7	6034	0
486	Tharil'zun		24	24	1	7	6043	0
487	Protector Bialon	The People's Militia	30	30	0	7	2368	0
488	Protector Weaver	The People's Militia	30	30	0	7	2371	0
489	Protector Dutfield	The People's Militia	30	30	0	7	2364	0
490	Protector Gariel	The People's Militia	30	30	0	7	2367	0
491	Quartermaster Lewis	Quartermaster	20	20	0	7	3342	0
494	Watcher Bukouris	The Night Watch	37	37	0	7	2379	0
495	Watcher Keefer	The Night Watch	40	40	0	7	2391	0
496	[UNUSED] Watcher Kleeman		30	30	0	7	166	1
497	[UNUSED] Watcher Benjamin		30	30	0	7	166	1
498	[UNUSED] Watcher Larsen		20	20	0	7	2393	1
499	Watcher Paige	The Night Watch	29	29	0	7	2396	0
500	Riverpaw Scout		12	13	0	7	374	0
501	Riverpaw Herbalist		14	15	0	7	413	0
502	Benny Blaanco		15	15	0	7	4422	0
503	Lord Malathrom		31	31	4	6	10626	0
504	Defias Trapper		12	13	0	7	2331	0
505	Greater Tarantula		19	20	0	1	520	0
506	Sergeant Brashclaw		18	18	4	7	383	0
507	Fenros		32	32	4	7	11179	0
509	[UNUSED] Long Fang		33	33	0	7	524	1
510	Water Elemental		60	60	0	4	525	0
511	Insane Ghoul		26	26	0	6	828	0
513	Murloc Netter		14	15	0	7	1994	0
514	Smith Argus	Journeyman Blacksmith	24	24	0	7	1288	0
515	Murloc Raider		11	12	0	7	441	0
516	[UNUSED] Riverpaw Hunter		22	23	0	7	528	1
517	Murloc Oracle		17	18	0	7	1079	0
518	Yowler		25	25	0	7	488	0
519	Slark		15	15	4	7	540	0
520	Brack		19	19	4	7	652	0
521	Lupos		23	23	4	1	11412	0
522	Mor'Ladim		35	35	1	6	612	0
523	Thor	Gryphon Master	55	55	1	7	3263	0
524	Rockhide Boar		7	8	0	1	389	0
525	Mangy Wolf		5	6	0	1	903	0
531	Skeletal Fiend		24	25	0	6	7550	0
533	Nightbane Shadow Weaver		27	28	0	7	203	0
534	Nefaru		34	34	4	7	11181	0
535	[UNUSED] Savar		30	30	0	7	226	1
536	[UNUSED] Rhal'Del		32	32	0	7	536	1
538	[UNUSED] Buk'Cha		31	31	0	7	1045	1
539	Pygmy Venom Web Spider		18	19	0	1	958	0
541	Riding Gryphon		29	29	0	1	6852	0
542	Califex of the Deep Wood	Druid Trainer	62	62	0	7	173	1
543	Nalesette Wildbringer	Pet Trainer	40	40	0	7	12749	0
544	Murloc Nightcrawler		21	22	0	7	5243	0
545	Murloc Tidecaller		19	20	0	7	5293	0
547	Great Goretusk		16	17	0	1	3035	0
548	Murloc Minor Tidecaller		17	18	0	7	1079	0
550	Defias Messenger		14	15	0	7	2312	0
564	Kobold Slave		10	11	0	7	163	1
565	Rabid Dire Wolf		20	21	0	1	802	0
566	V'rex		19	19	0	7	501	1
567	Blacknails		15	15	0	7	3196	1
568	Shadowhide Warrior		24	25	0	7	662	0
569	Green Recluse		21	22	0	1	2541	0
570	Brain Eater		28	29	0	6	569	0
572	Leprithus		19	19	4	6	1065	0
573	Foe Reaper 4000		20	20	4	9	548	0
574	Naraxis		27	27	4	1	963	0
575	Fire Elemental		35	36	0	4	1405	0
576	Watcher Ladimore	The Night Watch	28	28	0	7	2375	0
578	Murloc Scout		19	20	0	7	391	0
579	Shadowhide Assassin		23	24	0	7	550	0
580	Redridge Drudger		20	21	0	7	551	0
582	Old Blanchy		2	2	0	8	236	0
583	Defias Ambusher		8	9	0	7	184	0
584	Kazon		27	27	4	7	6041	0
586	[UNUSED] Watcher Kern		30	30	0	7	166	1
587	Bloodscalp Warrior		33	34	0	7	4570	0
588	Bloodscalp Scout		34	35	0	7	4575	0
589	Defias Pillager		14	15	0	7	2338	0
590	Defias Looter		13	14	0	7	2340	0
592	[UNUSED] Defias Arsonist		15	15	0	7	263	1
594	Defias Henchman		15	16	1	7	2323	0
595	Bloodscalp Hunter		34	35	0	7	4574	0
596	Brainwashed Noble		18	18	2	7	3267	0
597	Bloodscalp Berserker		36	37	0	7	4579	0
598	Defias Miner		17	18	0	7	308	0
599	Marisa du'Paige		18	18	2	7	2355	0
601	Capo the Mean		16	16	2	7	2354	1
603	Grimtooth		60	60	0	7	10792	0
604	Plague Spreader		27	28	0	6	519	0
605	[UNUSED] Mr. Whipple		24	24	0	7	19	1
606	[UNUSED] Mrs. Whipple		24	24	0	7	560	1
607	[UNUSED] Johnny Whipple		23	23	0	7	561	1
609	[UNUSED] Grandpa Whipple		26	26	0	7	23	1
610	[UNUSED] Rabid Gina Whipple		31	31	0	7	202	1
611	[UNUSED] Rabid Mr. Whipple		32	32	0	7	524	1
612	[UNUSED] Rabid Mrs. Whipple		32	32	0	7	202	1
613	[UNUSED] Rabid Johnny Whipple		31	31	0	7	563	1
614	[UNUSED] Rabid Grandpa Whipple		36	36	0	7	564	1
615	Blackrock Tracker		23	24	0	7	6040	0
616	Chatter		23	23	4	1	821	0
619	Defias Conjurer		15	16	1	7	2329	0
620	Chicken		1	1	0	8	304	0
622	Goblin Engineer		18	19	1	7	7109	0
623	Skeletal Miner		17	18	1	6	11402	0
624	Undead Excavator		17	18	1	6	10630	0
625	Undead Dynamiter		17	18	1	6	829	0
626	Foreman Thistlenettle		20	20	1	6	10628	0
628	Black Ravager		24	25	0	1	741	0
631	pnagle's test dude		1	2	0	7	251	1
633	Elaine Carevin		18	18	0	7	1571	0
634	Defias Overseer		17	18	1	7	2316	0
636	Defias Blackguard		19	20	1	7	2314	0
638	Goblin Mercenary		15	16	1	7	7107	1
639	Edwin VanCleef	Defias Kingpin	21	21	2	7	2029	0
641	Goblin Woodcarver		18	19	1	7	7111	0
642	Sneed's Shredder	Lumbermaster	20	20	1	9	1269	0
643	Sneed	Lumbermaster	20	20	1	7	7125	0
644	Rhahk'Zor	The Foreman	19	19	1	7	14403	0
645	Cookie	The Ship's Cook	20	20	1	7	1305	0
646	Mr. Smite	The Ship's First Mate	20	20	1	7	2026	1.62
647	Captain Greenskin		20	20	1	7	7113	0
648	Bridge Worker Trent		5	5	0	7	5003	1
649	Bridge Worker Dmitri		10	10	0	7	5004	1
650	Bridge Worker Jess		6	6	0	7	5005	1
651	Bridge Worker Daniel		6	6	0	7	5006	1
652	Bridge Worker Matthew		6	6	0	7	5007	1
653	Bridge Worker Alex		6	6	0	7	5008	1
656	Wilder Thistlenettle		20	20	0	7	2363	0
657	Defias Pirate		19	20	1	7	2347	0
658	Sten Stoutarm		5	5	0	7	1362	0
659	El Pollo Grande	The Black Chicken of Death	50	50	0	1	589	10
660	Bloodscalp Witch Doctor		37	37	0	7	4581	0
661	Jonathan Carevin		25	25	0	7	4338	0
663	Calor		20	20	0	7	2027	0
664	Benjamin Carevin		2	2	0	7	221	0
667	Skullsplitter Warrior		39	40	0	7	4632	0
669	Skullsplitter Hunter		41	42	0	7	4628	0
670	Skullsplitter Witch Doctor		41	42	0	7	4627	0
671	Bloodscalp Headhunter		36	37	0	7	4580	0
672	Skullsplitter Spiritchaser		44	44	0	7	4621	0
674	Venture Co. Strip Miner		40	41	0	7	7202	0
675	Venture Co. Foreman		42	42	0	7	7196	0
676	Venture Co. Surveyor		41	42	0	7	7203	0
677	Venture Co. Tinkerer		40	41	0	7	7204	0
678	Mosh'Ogg Mauler		43	44	1	7	416	0
679	Mosh'Ogg Shaman		43	44	1	7	536	0
680	Mosh'Ogg Lord		45	45	1	7	11569	0
681	Young Stranglethorn Tiger		30	31	0	1	598	0
682	Stranglethorn Tiger		32	33	0	1	320	0
683	Young Panther		30	31	0	1	2437	0
684	Shadowmaw Panther		37	38	0	1	633	0
685	Stranglethorn Raptor		33	34	0	1	788	0
686	Lashtail Raptor		35	36	0	1	788	0
687	Jungle Stalker		40	41	0	1	11317	0
688	Stone Maw Basilisk		31	32	0	1	12344	0
689	Crystal Spine Basilisk		34	35	0	1	601	0
690	Cold Eye Basilisk		39	40	0	1	8797	0
691	Lesser Water Elemental		36	37	0	4	5561	0
693	Secondary Skill Trainer	Trainer	62	62	0	7	173	1
694	Bloodscalp Axe Thrower		33	34	0	7	4572	0
696	Skullsplitter Axe Thrower		39	40	0	7	4622	0
697	Bloodscalp Shaman		33	34	0	7	4573	0
698	Bloodscalp Tiger		34	35	0	1	320	0
699	Bloodscalp Beastmaster		34	35	0	7	4576	0
700	Bloodscalp Panther		25	26	0	1	599	1
701	Bloodscalp Mystic		34	35	0	7	4577	0
702	Bloodscalp Scavenger		33	34	0	7	4571	0
703	Lieutenant Fangore		26	26	0	7	492	0
704	Ragged Timber Wolf		2	2	0	1	11416	0.7
705	Ragged Young Wolf		1	1	0	1	855	0.7
706	Frostmane Troll Whelp		3	4	0	7	5606	0
707	Rockjaw Trogg		1	2	0	7	606	0
708	Small Crag Boar		3	3	0	1	607	0
709	Mosh'Ogg Warmonger		41	42	1	7	655	0
710	Mosh'Ogg Spellcrafter		43	44	1	7	6704	0
711	Ardo Dirtpaw		24	24	0	7	603	0
712	Redridge Thrasher		14	15	0	7	489	0
713	Balir Frosthammer		5	5	0	7	1355	0
714	Talin Keeneye		5	5	0	7	1363	0
715	Hemet Nesingwary		40	40	0	7	1410	0
716	Barnil Stonepot		40	40	0	7	1413	0
717	Ajeck Rouack		40	40	0	7	1658	0
718	Sir S. J. Erlgadin		40	40	0	7	1659	0
721	Rabbit		1	1	0	8	328	0
723	Mosh'Ogg Butcher		44	44	2	7	11568	0
724	Burly Rockjaw Trogg		2	2	0	7	611	0
725	[UNUSED] Skeletal Enforcer		25	26	0	6	612	1
727	Ironforge Mountaineer		30	30	0	7	1598	0
728	Bhag'thera		40	40	1	1	613	0
729	Sin'Dall		37	37	0	1	471	0
730	Tethis		43	43	1	1	8472	0
731	King Bangalash		43	43	1	1	616	0
732	Murloc Lurker		9	10	0	7	983	0
733	Sergeant Yohwa		40	40	0	7	4393	0
734	Corporal Bluth	Camp Trader	40	40	0	7	4398	0
735	Murloc Streamrunner		6	7	0	7	527	0
736	Panther		32	33	0	1	599	0
737	Kebok		35	35	0	7	7163	0
738	Private Thorsen		30	30	0	7	4664	0
739	Brother Nimetz		40	40	0	7	4392	0
