panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource
"action-bar","MainMenuBarTexture0","Texture","MainMenuBarArtFrame","0","10","256","43","BOTTOM","","","-384","0","Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp","","","","","ARTWORK","","","","","","","0|0.83203125|1.0|1.0","patch.MPQ:Interface\FrameXML\MainMenuBar.xml","patch.MPQ:Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp",""
"action-bar","MainMenuBarTexture1","Texture","MainMenuBarArtFrame","256","10","256","43","BOTTOM","","","-128","0","Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp","","","","","ARTWORK","","","","","","","0|0.58203125|1.0|0.75","patch.MPQ:Interface\FrameXML\MainMenuBar.xml","patch.MPQ:Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp",""
"action-bar","MainMenuBarTexture2","Texture","MainMenuBarArtFrame","512","10","256","43","BOTTOM","","","128","0","Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp","","","","","ARTWORK","","","","","","","0|0.33203125|1.0|0.5","patch.MPQ:Interface\FrameXML\MainMenuBar.xml","patch.MPQ:Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp",""
"action-bar","MainMenuBarTexture3","Texture","MainMenuBarArtFrame","768","10","256","43","BOTTOM","","","384","0","Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp","","","","","ARTWORK","","","","","","","0|0.08203125|1.0|0.25","patch.MPQ:Interface\FrameXML\MainMenuBar.xml","patch.MPQ:Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp",""
"action-bar","MainMenuBarLeftEndCap","Texture","MainMenuBarArtFrame","-96","-75","128","128","BOTTOM","","","-544","0","Interface\MainMenuBar\UI-MainMenuBar-EndCap-Dwarf.blp","","","","","OVERLAY","","","","","","","","patch.MPQ:Interface\FrameXML\MainMenuBar.xml","interface.MPQ:Interface\MainMenuBar\UI-MainMenuBar-EndCap-Dwarf.blp",""
"action-bar","MainMenuBarRightEndCap","Texture","MainMenuBarArtFrame","992","-75","128","128","BOTTOM","","","544","0","Interface\MainMenuBar\UI-MainMenuBar-EndCap-Dwarf.blp","","","","","OVERLAY","","","","","","","1.0|0.0|0.0|1.0","patch.MPQ:Interface\FrameXML\MainMenuBar.xml","interface.MPQ:Interface\MainMenuBar\UI-MainMenuBar-EndCap-Dwarf.blp",""
"action-bar","MainMenuBarPageNumber","FontString","MainMenuBarArtFrame","","","","","CENTER","","","30","-5","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","OVERLAY","","","","","","","","patch.MPQ:Interface\FrameXML\MainMenuBar.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF"
"action-bar","MainMenuBarPerformanceBarFrame","Frame","MainMenuBar","781","-1","16","64","BOTTOMRIGHT","","","-227","-10","","","","","","","LOW","","","","","","","patch.MPQ:Interface\FrameXML\MainMenuBar.xml","",""
"action-bar","MainMenuBarPerformanceBar","Texture","MainMenuBarPerformanceBarFrame","777","-1","20","66","TOPRIGHT","","","","","Interface\MainMenuBar\UI-MainMenuBar-PerformanceBar.blp","","","","","BACKGROUND","LOW","","","","","","","patch.MPQ:Interface\FrameXML\MainMenuBar.xml","interface.MPQ:Interface\MainMenuBar\UI-MainMenuBar-PerformanceBar.blp",""
"action-bar","MainMenuBarPerformanceBarFrameButton","Button","MainMenuBar","0","0","1024","53","","","","","","","","","","","","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\MainMenuBar.xml","",""
