class,spell_id,name,rank,school,cast_type,cast_time_ms,duration_ms,speed,effect_ids,aura_ids,implicit_targets_a,implicit_targets_b,effect_misc_values,effect_item_types,visual_id,precast_kit,precast_animation,precast_models,cast_kit,cast_animation,cast_models,impact_kit,impact_animation,impact_models,state_kit,state_animation,state_models,channel_kit,channel_animation,channel_models,missile_model,coverage
"Mage",205,"Frostbolt","Rank 2",4,CAST_TIME,1800,6000,28,"6|2|0","33|0|0","6|6|0","0|0|0","0|0|0","0|0|0",13,194,51,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",202,53,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",4991,9,"patch.MPQ:Spells\Ice_ImpactDD_Med_Chest.m2",3531,,"patch.MPQ:Spells\Ice_Precast_Uber_Head.m2",0,,"","patch.MPQ:Spells\Frostbolt.m2",MEASURED
"Mage",475,"Remove Lesser Curse","",6,INSTANT,0,0,0,"38|0|0","0|0|0","21|0|0","0|0|0","2|0|0","0|0|0",186,266,52,"patch.MPQ:Spells\Magic_PreCast_Hand.m2",267,54,"patch.MPQ:Spells\Magic_Cast_Hand.m2",315,,"patch.MPQ:Spells\RemoveCurse_Base.m2",0,,"",0,,"","",MEASURED
"Mage",543,"Fire Ward","Rank 1",2,INSTANT,0,30000,0,"6|6|0","69|74|0","1|1|0","0|0|0","4|4|0","0|0|0",290,60,52,"patch.MPQ:Spells\Fire_Precast_Hand.m2",61,54,"patch.MPQ:Spells\Fire_Cast_Hand.m2",448,,"patch.MPQ:Spells\FireWard_Impact_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",587,"Conjure Food","Rank 1",6,CAST_TIME,3000,0,0,"24|0|0","0|0|0","1|0|0","0|0|0","0|0|0","5349|0|0",563,403,123,"patch.MPQ:Spells\ConjureItemCast.m2",655,,"patch.MPQ:Spells\ConjureItemCast.m2",0,,"",0,,"",0,,"","",MEASURED
"Mage",597,"Conjure Food","Rank 2",6,CAST_TIME,3000,0,0,"24|0|0","0|0|0","1|0|0","0|0|0","0|0|0","1113|0|0",563,403,123,"patch.MPQ:Spells\ConjureItemCast.m2",655,,"patch.MPQ:Spells\ConjureItemCast.m2",0,,"",0,,"",0,,"","",MEASURED
"Mage",604,"Dampen Magic","Rank 1",6,INSTANT,0,600000,0,"6|6|0","14|115|0","57|57|0","0|0|0","126|126|0","0|0|0",970,266,52,"patch.MPQ:Spells\Magic_PreCast_Hand.m2",267,54,"patch.MPQ:Spells\Magic_Cast_Hand.m2",992,,"patch.MPQ:Spells\ArcaneSpirit_Impact_Base.m2",0,,"",0,,"","",MEASURED
"Mage",759,"Conjure Mana Agate","",6,CAST_TIME,3000,0,0,"24|0|0","0|0|0","1|0|0","0|0|0","0|0|0","5514|0|0",161,403,123,"patch.MPQ:Spells\ConjureItemCast.m2",260,,"",0,,"",0,,"",0,,"","",MEASURED
"Mage",837,"Frostbolt","Rank 3",4,CAST_TIME,2200,6000,28,"6|2|0","33|0|0","6|6|0","0|0|0","0|0|0","0|0|0",13,194,51,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",202,53,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",4991,9,"patch.MPQ:Spells\Ice_ImpactDD_Med_Chest.m2",3531,,"patch.MPQ:Spells\Ice_Precast_Uber_Head.m2",0,,"","patch.MPQ:Spells\Frostbolt.m2",MEASURED
"Mage",865,"Frost Nova","Rank 2",4,INSTANT,0,8000,0,"2|6|0","0|26|0","22|22|0","15|15|0","0|0|0","0|0|0",17,195,52,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",160,54,"patch.MPQ:Spells\Frost_Nova_area.m2",0,,"",285,,"patch.MPQ:Spells\Ice_Precast_Uber_Head.m2",0,,"","",MEASURED
"Mage",990,"Conjure Food","Rank 3",6,CAST_TIME,3000,0,0,"24|0|0","0|0|0","1|0|0","0|0|0","0|0|0","1114|0|0",563,403,123,"patch.MPQ:Spells\ConjureItemCast.m2",655,,"patch.MPQ:Spells\ConjureItemCast.m2",0,,"",0,,"",0,,"","",MEASURED
"Mage",1008,"Amplify Magic","Rank 1",6,INSTANT,0,600000,0,"6|6|0","14|115|0","57|57|0","0|0|0","126|126|0","0|0|0",969,266,52,"patch.MPQ:Spells\Magic_PreCast_Hand.m2",267,54,"patch.MPQ:Spells\Magic_Cast_Hand.m2",991,,"patch.MPQ:Spells\AmplifyMagic_Impact_Base.m2",0,,"",0,,"","",MEASURED
"Mage",1449,"Arcane Explosion","Rank 1",6,INSTANT,0,0,0,"2|0|0","0|0|0","22|0|0","15|0|0","0|0|0","0|0|0",965,266,52,"patch.MPQ:Spells\Magic_PreCast_Hand.m2",1004,54,"patch.MPQ:Spells\ArcaneExplosion_Base.m2",1005,,"patch.MPQ:Spells\ArcaneExplosion_Impact_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",1459,"Arcane Intellect","Rank 1",6,INSTANT,0,1800000,0,"6|0|0","29|0|0","21|0|0","0|0|0","3|0|0","0|0|0",158,0,,"",267,54,"patch.MPQ:Spells\Magic_Cast_Hand.m2",254,,"patch.MPQ:Spells\ArcaneIntellect_Impact_Base.m2",0,,"",0,,"","",MEASURED
"Mage",1460,"Arcane Intellect","Rank 2",6,INSTANT,0,1800000,0,"6|0|0","29|0|0","21|0|0","0|0|0","3|0|0","0|0|0",158,0,,"",267,54,"patch.MPQ:Spells\Magic_Cast_Hand.m2",254,,"patch.MPQ:Spells\ArcaneIntellect_Impact_Base.m2",0,,"",0,,"","",MEASURED
"Mage",1461,"Arcane Intellect","Rank 3",6,INSTANT,0,1800000,0,"6|0|0","29|0|0","21|0|0","0|0|0","3|0|0","0|0|0",158,0,,"",267,54,"patch.MPQ:Spells\Magic_Cast_Hand.m2",254,,"patch.MPQ:Spells\ArcaneIntellect_Impact_Base.m2",0,,"",0,,"","",MEASURED
"Mage",1463,"Mana Shield","Rank 1",6,INSTANT,0,60000,0,"6|0|0","97|0|0","1|0|0","0|0|0","1|0|0","0|0|0",968,266,52,"patch.MPQ:Spells\Magic_PreCast_Hand.m2",267,54,"patch.MPQ:Spells\Magic_Cast_Hand.m2",0,,"",990,,"patch.MPQ:Spells\ManaShield_State_Base.m2",0,,"","",MEASURED
"Mage",1953,"Blink","",6,INSTANT,0,1000,0,"29|6|6","0|77|77","1|1|1","55|0|0","0|12|7","0|0|0",263,266,52,"patch.MPQ:Spells\Magic_PreCast_Hand.m2",267,54,"patch.MPQ:Spells\Magic_Cast_Hand.m2",3394,,"patch.MPQ:spells\blink_impact_chest.m2",0,,"",0,,"","",MEASURED
"Mage",2120,"Flamestrike","Rank 1",2,CAST_TIME,3000,8000,0,"2|27|0","0|3|0","16|28|0","0|0|0","0|0|0","0|0|0",33,60,52,"patch.MPQ:Spells\Fire_Precast_Hand.m2",61,54,"patch.MPQ:Spells\Fire_Cast_Hand.m2",0,,"",235,,"patch.MPQ:Spells\Immolate_State_Base.m2",716,125,"patch.MPQ:Spells\Fire_Precast_Low_Hand.m2","",MEASURED
"Mage",2121,"Flamestrike","Rank 2",2,CAST_TIME,3000,8000,0,"2|27|0","0|3|0","16|28|0","0|0|0","0|0|0","0|0|0",33,60,52,"patch.MPQ:Spells\Fire_Precast_Hand.m2",61,54,"patch.MPQ:Spells\Fire_Cast_Hand.m2",0,,"",235,,"patch.MPQ:Spells\Immolate_State_Base.m2",716,125,"patch.MPQ:Spells\Fire_Precast_Low_Hand.m2","",MEASURED
"Mage",2136,"Fire Blast","Rank 1",2,INSTANT,0,0,0,"2|0|0","0|0|0","6|0|0","0|0|0","0|0|0","0|0|0",143,0,,"",38,53,"patch.MPQ:Spells\Fire_Cast_Hand.m2",728,9,"patch.MPQ:Spells\Fire_ImpactDD_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",2137,"Fire Blast","Rank 2",2,INSTANT,0,0,0,"2|0|0","0|0|0","6|0|0","0|0|0","0|0|0","0|0|0",143,0,,"",38,53,"patch.MPQ:Spells\Fire_Cast_Hand.m2",728,9,"patch.MPQ:Spells\Fire_ImpactDD_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",2138,"Fire Blast","Rank 3",2,INSTANT,0,0,0,"2|0|0","0|0|0","6|0|0","0|0|0","0|0|0","0|0|0",143,0,,"",38,53,"patch.MPQ:Spells\Fire_Cast_Hand.m2",728,9,"patch.MPQ:Spells\Fire_ImpactDD_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",2139,"Counterspell","",6,INSTANT,0,10000,0,"68|0|0","0|0|0","6|0|0","0|0|0","0|0|0","0|0|0",239,266,52,"patch.MPQ:Spells\Magic_PreCast_Hand.m2",730,53,"patch.MPQ:Spells\Magic_Cast_Hand.m2",381,,"patch.MPQ:Spells\CounterSpell_Impact_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",2479,"Honorless Target","",0,INSTANT,0,30000,0,"6|0|0","159|0|0","1|0|0","0|0|0","0|0|0","0|0|0",0,0,,"",0,,"",0,,"",0,,"",0,,"","",NOT-PRESENT
"Mage",2855,"Detect Magic","",6,INSTANT,0,120000,0,"6|0|0","100|0|0","6|0|0","0|0|0","0|0|0","0|0|0",2918,99,52,"patch.MPQ:Spells\Holy_Precast_Low_Hand.m2",270,54,"patch.MPQ:Spells\Holy_Precast_Low_Hand.m2",2616,,"patch.MPQ:Spells\DetectMagic_Base.m2",0,,"",0,,"","",MEASURED
"Mage",2948,"Scorch","Rank 1",2,CAST_TIME,1500,0,0,"2|0|0","0|0|0","6|0|0","0|0|0","0|0|0","0|0|0",945,30,51,"patch.MPQ:Spells\Fire_Precast_Hand.m2",38,53,"patch.MPQ:Spells\Fire_Cast_Hand.m2",2609,,"patch.MPQ:Spells\Scorch_Low_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",3140,"Fireball","Rank 4",2,CAST_TIME,3000,8000,24,"2|6|0","0|3|0","6|6|0","0|0|0","0|0|0","0|0|0",67,30,51,"patch.MPQ:Spells\Fire_Precast_Hand.m2",38,53,"patch.MPQ:Spells\Fire_Cast_Hand.m2",286,9,"patch.MPQ:Spells\MoltenBlast_Impact_Chest.m2",0,,"",0,,"","patch.MPQ:Spells\Fireball_Missile_Low.m2",MEASURED
"Mage",3365,"Opening","",0,CAST_TIME,5000,0,0,"33|0|0","0|0|0","23|0|0","0|0|0","5|0|0","0|0|0",180,518,123,"",4629,129,"",0,,"",0,,"",0,,"","",MEASURED
"Mage",3552,"Conjure Mana Jade","",6,CAST_TIME,3000,0,0,"24|0|0","0|0|0","1|0|0","0|0|0","0|0|0","5513|0|0",161,403,123,"patch.MPQ:Spells\ConjureItemCast.m2",260,,"",0,,"",0,,"",0,,"","",MEASURED
"Mage",3561,"Teleport: Stormwind","",6,CAST_TIME,10000,0,0,"5|77|0","0|0|0","1|1|0","17|0|0","0|0|0","0|0|0",263,266,52,"patch.MPQ:Spells\Magic_PreCast_Hand.m2",267,54,"patch.MPQ:Spells\Magic_Cast_Hand.m2",3394,,"patch.MPQ:spells\blink_impact_chest.m2",0,,"",0,,"","",MEASURED
"Mage",3562,"Teleport: Ironforge","",6,CAST_TIME,10000,0,0,"5|77|0","0|0|0","1|1|0","17|0|0","0|0|0","0|0|0",263,266,52,"patch.MPQ:Spells\Magic_PreCast_Hand.m2",267,54,"patch.MPQ:Spells\Magic_Cast_Hand.m2",3394,,"patch.MPQ:spells\blink_impact_chest.m2",0,,"",0,,"","",MEASURED
"Mage",3565,"Teleport: Darnassus","",6,CAST_TIME,10000,0,0,"5|77|0","0|0|0","1|1|0","17|0|0","0|0|0","0|0|0",263,266,52,"patch.MPQ:Spells\Magic_PreCast_Hand.m2",267,54,"patch.MPQ:Spells\Magic_Cast_Hand.m2",3394,,"patch.MPQ:spells\blink_impact_chest.m2",0,,"",0,,"","",MEASURED
"Mage",5019,"Shoot","",0,CHANNEL,0,0,20,"17|0|0","0|0|0","6|0|0","0|0|0","0|0|0","0|0|0",0,0,,"",0,,"",0,,"",0,,"",0,,"","",NOT-PRESENT
"Mage",5143,"Arcane Missiles","Rank 1",6,CHANNEL,0,3000,0,"6|6|0","23|4|0","1|6|0","0|0|0","0|0|0","0|0|0",262,0,,"",0,,"",0,,"",0,,"",729,124,"patch.MPQ:Spells\Magic_PreCast_Hand.m2","",MEASURED
"Mage",5144,"Arcane Missiles","Rank 2",6,CHANNEL,0,4000,0,"6|6|0","23|4|0","1|6|0","0|0|0","0|0|0","0|0|0",262,0,,"",0,,"",0,,"",0,,"",729,124,"patch.MPQ:Spells\Magic_PreCast_Hand.m2","",MEASURED
"Mage",5145,"Arcane Missiles","Rank 3",6,CHANNEL,0,5000,0,"6|6|0","23|4|0","1|6|0","0|0|0","0|0|0","0|0|0",262,0,,"",0,,"",0,,"",0,,"",729,124,"patch.MPQ:Spells\Magic_PreCast_Hand.m2","",MEASURED
"Mage",5504,"Conjure Water","Rank 1",6,CAST_TIME,3000,0,0,"24|0|0","0|0|0","1|0|0","0|0|0","0|0|0","5350|0|0",564,403,123,"patch.MPQ:Spells\ConjureItemCast.m2",656,,"",0,,"",0,,"",0,,"","",MEASURED
"Mage",5505,"Conjure Water","Rank 2",6,CAST_TIME,3000,0,0,"24|0|0","0|0|0","1|0|0","0|0|0","0|0|0","2288|0|0",564,403,123,"patch.MPQ:Spells\ConjureItemCast.m2",656,,"",0,,"",0,,"",0,,"","",MEASURED
"Mage",5506,"Conjure Water","Rank 3",6,CAST_TIME,3000,0,0,"24|0|0","0|0|0","1|0|0","0|0|0","0|0|0","2136|0|0",564,403,123,"patch.MPQ:Spells\ConjureItemCast.m2",656,,"",0,,"",0,,"",0,,"","",MEASURED
"Mage",6117,"Mage Armor","Rank 1",6,INSTANT,0,1800000,0,"6|6|0","22|134|0","1|1|0","0|0|0","126|0|0","0|0|0",284,266,52,"patch.MPQ:Spells\Magic_PreCast_Hand.m2",267,54,"patch.MPQ:Spells\Magic_Cast_Hand.m2",440,,"patch.MPQ:Spells\MageArmor_Impact_Head.m2",0,,"",0,,"","",MEASURED
"Mage",6127,"Conjure Water","Rank 4",6,CAST_TIME,3000,0,0,"24|0|0","0|0|0","1|0|0","0|0|0","0|0|0","3772|0|0",564,403,123,"patch.MPQ:Spells\ConjureItemCast.m2",656,,"",0,,"",0,,"",0,,"","",MEASURED
"Mage",6129,"Conjure Food","Rank 4",6,CAST_TIME,3000,0,0,"24|0|0","0|0|0","1|0|0","0|0|0","0|0|0","1487|0|0",563,403,123,"patch.MPQ:Spells\ConjureItemCast.m2",655,,"patch.MPQ:Spells\ConjureItemCast.m2",0,,"",0,,"",0,,"","",MEASURED
"Mage",6131,"Frost Nova","Rank 3",4,INSTANT,0,8000,0,"2|6|0","0|26|0","22|22|0","15|15|0","0|0|0","0|0|0",17,195,52,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",160,54,"patch.MPQ:Spells\Frost_Nova_area.m2",0,,"",285,,"patch.MPQ:Spells\Ice_Precast_Uber_Head.m2",0,,"","",MEASURED
"Mage",6141,"Blizzard","Rank 2",4,CHANNEL,0,8000,0,"27|0|0","3|0|0","28|0|0","0|0|0","0|0|0","0|0|0",259,197,52,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2|patch.MPQ:Spells\Ice_Precast_Med_Hand.m2",5390,125,"patch.MPQ:Spells\Ice_Precast_Med_Hand.m2",413,,"patch.MPQ:Spells\Blizzard_Impact_Base.m2",0,,"",717,125,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2","",MEASURED
"Mage",6143,"Frost Ward","Rank 1",4,INSTANT,0,30000,0,"6|6|0","69|74|0","1|1|0","0|0|0","16|16|0","0|0|0",291,197,52,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2|patch.MPQ:Spells\Ice_Precast_Med_Hand.m2",205,54,"patch.MPQ:Spells\Ice_Precast_Med_Hand.m2",450,,"patch.MPQ:Spells\FrostWard_Impact_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",6233,"Closing","",0,CAST_TIME,1000,0,0,"33|0|0","0|0|0","23|0|0","0|0|0","8|0|0","0|0|0",180,518,123,"",4629,129,"",0,,"",0,,"",0,,"","",MEASURED
"Mage",6246,"Closing","",0,INSTANT,0,0,0,"33|0|0","0|0|0","23|0|0","0|0|0","11|0|0","0|0|0",180,518,123,"",4629,129,"",0,,"",0,,"",0,,"","",MEASURED
"Mage",6247,"Opening","",0,INSTANT,0,0,0,"33|0|0","0|0|0","23|0|0","0|0|0","10|0|0","0|0|0",180,518,123,"",4629,129,"",0,,"",0,,"",0,,"","",MEASURED
"Mage",6477,"Opening","",0,CAST_TIME,5000,0,0,"33|0|0","0|0|0","23|0|0","0|0|0","12|0|0","0|0|0",180,518,123,"",4629,129,"",0,,"",0,,"",0,,"","",MEASURED
"Mage",6478,"Opening","",0,CAST_TIME,5000,0,0,"33|0|0","0|0|0","23|0|0","0|0|0","13|0|0","0|0|0",327,305,141,"",0,,"",0,,"",0,,"",0,,"","",MEASURED
"Mage",6603,"Attack","",0,INSTANT,0,0,0,"78|0|0","0|0|0","0|0|0","0|0|0","0|0|0","0|0|0",0,0,,"",0,,"",0,,"",0,,"",0,,"","",NOT-PRESENT
"Mage",7266,"Duel","",0,INSTANT,0,-1,0,"83|0|0","0|0|0","25|0|0","32|0|0","21680|0|0","0|0|0",0,0,,"",0,,"",0,,"",0,,"",0,,"","",NOT-PRESENT
"Mage",7267,"Grovel","",0,INSTANT,0,3000,0,"6|0|0","12|0|0","1|0|0","0|0|0","0|0|0","0|0|0",655,0,,"",0,,"",0,,"",4751,79,"",0,,"","",MEASURED
"Mage",7300,"Frost Armor","Rank 2",4,INSTANT,0,1800000,0,"6|6|0","22|42|0","1|1|0","0|0|0","1|0|0","0|0|0",124,194,51,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",203,54,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",222,,"patch.MPQ:Spells\FrostArmor_Low_Head.m2",0,,"",0,,"","",MEASURED
"Mage",7301,"Frost Armor","Rank 3",4,INSTANT,0,1800000,0,"6|6|0","22|42|0","1|1|0","0|0|0","1|0|0","0|0|0",124,194,51,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",203,54,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",222,,"patch.MPQ:Spells\FrostArmor_Low_Head.m2",0,,"",0,,"","",MEASURED
"Mage",7302,"Ice Armor","Rank 1",4,INSTANT,0,1800000,0,"6|6|6","22|42|22","1|1|1","0|0|0","1|0|16","0|0|0",706,194,51,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",203,54,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",768,,"patch.MPQ:Spells\IceArmor_Low_Head.m2",0,,"",0,,"","",MEASURED
"Mage",7320,"Ice Armor","Rank 2",4,INSTANT,0,1800000,0,"6|6|6","22|42|22","1|1|1","0|0|0","1|0|16","0|0|0",706,194,51,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",203,54,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",768,,"patch.MPQ:Spells\IceArmor_Low_Head.m2",0,,"",0,,"","",MEASURED
"Mage",7322,"Frostbolt","Rank 4",4,CAST_TIME,2600,7000,28,"6|2|0","33|0|0","6|6|0","0|0|0","0|0|0","0|0|0",13,194,51,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",202,53,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",4991,9,"patch.MPQ:Spells\Ice_ImpactDD_Med_Chest.m2",3531,,"patch.MPQ:Spells\Ice_Precast_Uber_Head.m2",0,,"","patch.MPQ:Spells\Frostbolt.m2",MEASURED
"Mage",7355,"Stuck","",0,CAST_TIME,10000,0,0,"84|0|0","0|0|0","0|0|0","0|0|0","0|0|0","0|0|0",215,358,123,"",1964,129,"",0,,"",0,,"",0,,"","",MEASURED
"Mage",8386,"Attacking","",0,CAST_TIME,5000,0,0,"33|0|0","0|0|0","23|0|0","0|0|0","14|0|0","0|0|0",909,951,17,"",0,,"",0,,"",0,,"",0,,"","",MEASURED
"Mage",8400,"Fireball","Rank 5",2,CAST_TIME,3500,8000,24,"2|6|0","0|3|0","6|6|0","0|0|0","0|0|0","0|0|0",67,30,51,"patch.MPQ:Spells\Fire_Precast_Hand.m2",38,53,"patch.MPQ:Spells\Fire_Cast_Hand.m2",286,9,"patch.MPQ:Spells\MoltenBlast_Impact_Chest.m2",0,,"",0,,"","patch.MPQ:Spells\Fireball_Missile_Low.m2",MEASURED
"Mage",8401,"Fireball","Rank 6",2,CAST_TIME,3500,8000,24,"2|6|0","0|3|0","6|6|0","0|0|0","0|0|0","0|0|0",67,30,51,"patch.MPQ:Spells\Fire_Precast_Hand.m2",38,53,"patch.MPQ:Spells\Fire_Cast_Hand.m2",286,9,"patch.MPQ:Spells\MoltenBlast_Impact_Chest.m2",0,,"",0,,"","patch.MPQ:Spells\Fireball_Missile_Low.m2",MEASURED
"Mage",8402,"Fireball","Rank 7",2,CAST_TIME,3500,8000,24,"2|6|0","0|3|0","6|6|0","0|0|0","0|0|0","0|0|0",67,30,51,"patch.MPQ:Spells\Fire_Precast_Hand.m2",38,53,"patch.MPQ:Spells\Fire_Cast_Hand.m2",286,9,"patch.MPQ:Spells\MoltenBlast_Impact_Chest.m2",0,,"",0,,"","patch.MPQ:Spells\Fireball_Missile_Low.m2",MEASURED
"Mage",8406,"Frostbolt","Rank 5",4,CAST_TIME,3000,7000,28,"6|2|0","33|0|0","6|6|0","0|0|0","0|0|0","0|0|0",13,194,51,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",202,53,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",4991,9,"patch.MPQ:Spells\Ice_ImpactDD_Med_Chest.m2",3531,,"patch.MPQ:Spells\Ice_Precast_Uber_Head.m2",0,,"","patch.MPQ:Spells\Frostbolt.m2",MEASURED
"Mage",8407,"Frostbolt","Rank 6",4,CAST_TIME,3000,8000,28,"6|2|0","33|0|0","6|6|0","0|0|0","0|0|0","0|0|0",13,194,51,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",202,53,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",4991,9,"patch.MPQ:Spells\Ice_ImpactDD_Med_Chest.m2",3531,,"patch.MPQ:Spells\Ice_Precast_Uber_Head.m2",0,,"","patch.MPQ:Spells\Frostbolt.m2",MEASURED
"Mage",8408,"Frostbolt","Rank 7",4,CAST_TIME,3000,8000,28,"6|2|0","33|0|0","6|6|0","0|0|0","0|0|0","0|0|0",13,194,51,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",202,53,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",4991,9,"patch.MPQ:Spells\Ice_ImpactDD_Med_Chest.m2",3531,,"patch.MPQ:Spells\Ice_Precast_Uber_Head.m2",0,,"","patch.MPQ:Spells\Frostbolt.m2",MEASURED
