[combat] time=0.222 event=GmChatWire cause=server-receive target=0x0000000000000000 detail=opcode=0x0096;bytes=86;hex=0A0000000000000000000000004400000057656C636F6D6520746F20576F726C64206F66205761726372616674210A506174636820312E31323A204472756D73206F6620576172206973206E6F77206C697665210000
[combat] time=0.223 event=GmChatWire cause=server-receive target=0x0000000000000000 detail=opcode=0x01CB;bytes=14;hex=474D206D6F6465206973204F4E00
[combat] time=0.223 event=GmChatWire cause=server-receive target=0x0000000000000000 detail=opcode=0x01CB;bytes=31;hex=596F7520617265206E6F7720696E76697369626C65202872616E6B20362900
[action] time=0.236 slot=0 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.237 slot=1 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.237 slot=2 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.237 slot=3 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.237 slot=4 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.237 slot=5 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.237 slot=6 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.237 slot=7 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.237 slot=8 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.237 slot=9 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.237 slot=10 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.237 slot=11 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[combat] time=0.245 event=GmChatResponse cause=server-chat target=0x0000000000000000 detail=Welcome_to_World_of_Warcraft!Patch_1.12:_Drums_of_War_is_now_live!
[combat] time=0.429 event=GmChatResponse cause=server-chat target=0x0000000000000000 detail=GM_mode_is_ON
[combat] time=0.429 event=GmChatResponse cause=server-chat target=0x0000000000000000 detail=You_are_now_invisible_(rank_6)
[portrait] time=9.941 subject=Player outcome=Ready camera=Authored authoredRetried=False subjectPx=42354 rgb=0..255 alpha=180..255 pieces=11 displayId=0 bindPoseHeight=2.0352 eyeHeight=0.0000 distance=0.0000 fovyDeg=27.0000 near=0.2222
[combat] time=10.491 event=GmChatWire cause=client-send target=0x0000000000000000 detail=opcode=0x0095;bytes=44;hex=00000000070000002E676F2078797A202D383934392E3935202D3133322E3439332038332E35333132203000
[combat] time=10.491 event=GmCommand cause=live-bootstrap target=0x0000000000000000 detail=sent=True;text=.go_xyz_-8949.95_-132.493_83.5312_0
[anim] time=10.623 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.623 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.623 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.623 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.623 unit=creature:3167 track=0 requested=4 played=4 kind=Exact
[anim] time=10.623 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.623 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=10.623 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=10.637 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=10.637 unit=creature:3167 track=0 requested=0 played=0 kind=Exact
[anim] time=10.637 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.637 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.637 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=10.637 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.637 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.637 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.637 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.637 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.637 unit=creature:3167 track=0 requested=4 played=4 kind=Exact
[anim] time=10.637 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.637 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=10.637 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=10.655 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=10.655 unit=creature:3167 track=0 requested=0 played=0 kind=Exact
[anim] time=10.655 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.655 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.655 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=10.655 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.655 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.655 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.655 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.655 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.655 unit=creature:3167 track=0 requested=4 played=4 kind=Exact
[anim] time=10.655 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.655 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=10.655 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=10.660 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=10.660 unit=creature:3167 track=0 requested=0 played=0 kind=Exact
[anim] time=10.660 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.660 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.660 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=10.660 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.660 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.660 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.660 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.660 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.660 unit=creature:3167 track=0 requested=4 played=4 kind=Exact
[anim] time=10.660 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.660 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=10.660 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=10.671 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=10.671 unit=creature:3167 track=0 requested=0 played=0 kind=Exact
[anim] time=10.671 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.671 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.672 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=10.672 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.672 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.672 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.672 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.672 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.672 unit=creature:3167 track=0 requested=4 played=4 kind=Exact
[anim] time=10.672 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.672 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=10.672 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[combat] time=10.679 event=GmChatWire cause=server-receive target=0x0000000000000000 detail=opcode=0x0096;bytes=33;hex=0A0000000000000000000000000F000000474D206D6F6465206973204F46460000
[combat] time=10.679 event=GmChatWire cause=server-receive target=0x0000000000000000 detail=opcode=0x01CB;bytes=15;hex=474D206D6F6465206973204F464600
[combat] time=10.684 event=GmChatResponse cause=server-chat target=0x0000000000000000 detail=GM_mode_is_OFF
[combat] time=10.684 event=GmChatResponse cause=server-chat target=0x0000000000000000 detail=GM_mode_is_OFF
[anim] time=10.704 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=10.704 unit=creature:3167 track=0 requested=0 played=0 kind=Exact
[anim] time=10.704 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.704 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.704 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=10.704 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.704 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.704 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.704 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.704 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.704 unit=creature:3167 track=0 requested=4 played=4 kind=Exact
[anim] time=10.704 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.704 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=10.704 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=10.719 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=10.719 unit=creature:3167 track=0 requested=0 played=0 kind=Exact
[anim] time=10.719 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.823 unit=creature:10913 track=0 requested=0 played=0 kind=BakedOnDemand
[combat] time=10.851 event=SpawnObserved cause=post-command-entity-delta target=0xF13000000604A274 detail=entry=6;distance=0;within3=true;position=-8949.95|-132.493|83.529526
[anim] time=10.856 unit=creature:10913 track=0 requested=0 played=0 kind=Exact
[portrait] time=10.860 subject=Target outcome=Ready camera=Authored authoredRetried=False subjectPx=46795 rgb=0..255 alpha=127..255 pieces=-1 displayId=10913 bindPoseHeight=1.1373 eyeHeight=0.0000 distance=0.0000 fovyDeg=39.2823 near=0.1556
[anim] time=11.221 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=11.221 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=11.251 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=11.251 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=11.304 unit=creature:5233 track=0 requested=0 played=0 kind=BakedOnDemand
[anim] time=11.335 unit=creature:5233 track=0 requested=0 played=0 kind=Exact
[anim] time=11.386 unit=player track=0 requested=11 played=11 kind=Exact
[anim] time=11.387 unit=creature:2410 track=0 requested=0 played=0 kind=BakedOnDemand
[anim] time=11.418 unit=creature:2410 track=0 requested=0 played=0 kind=Exact
[anim] time=11.568 unit=creature:2072 track=0 requested=0 played=0 kind=Exact
[anim] time=11.718 unit=creature:10913 track=0 requested=4 played=4 kind=BakedOnDemand
[anim] time=11.720 unit=creature:10913 track=0 requested=4 played=4 kind=Exact
[combat] time=11.935 event=TraceStart cause=operator target=0x0000000000000000 detail=server-authoritative_swing_timing;_client_range/arc_gates_absent
[combat] time=11.951 event=AttackSwingSend cause=network-session-send target=0xF13000000604A274 detail=CMSG_ATTACKSWING
[combat] time=11.952 event=IntentOn cause=user-start target=0xF13000000604A274 detail=local_attack_latch_edge
[anim] time=12.001 unit=player track=0 requested=0 played=0 kind=Exact
[combat] time=12.001 event=AnimChoice cause=animator target=0xF13000000604A274 detail=track=0_requested=0_played=0_kind=Exact_base=11:ShuffleLeft_clipB=_blendWeight=0
[anim] time=12.269 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=12.269 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=12.285 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=12.285 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=12.302 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=12.302 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=12.304 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=12.304 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=12.336 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=12.336 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=12.352 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=12.352 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=12.369 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=12.369 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=12.386 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=12.386 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=12.402 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=12.402 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=12.419 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=12.421 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=13.637 unit=creature:10913 track=0 requested=0 played=0 kind=Exact
[anim] time=14.453 unit=player track=0 requested=12 played=12 kind=Exact
[combat] time=14.453 event=AnimChoice cause=animator target=0xF13000000604A274 detail=track=0_requested=12_played=12_kind=Exact_base=0:Stand_clipB=_blendWeight=0
[anim] time=14.538 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=14.538 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=14.554 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=14.554 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=14.572 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=14.572 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=14.588 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=14.588 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=14.605 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=14.605 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=14.621 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=14.621 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=14.638 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=14.638 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=15.054 unit=player track=0 requested=0 played=0 kind=Exact
[combat] time=15.054 event=AnimChoice cause=animator target=0xF13000000604A274 detail=track=0_requested=0_played=0_kind=Exact_base=12:ShuffleRight_clipB=_blendWeight=0
[anim] time=15.889 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=15.906 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=15.906 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=15.922 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=15.922 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=15.939 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=15.939 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=15.956 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=15.956 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=15.972 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=15.972 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=15.989 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=15.989 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=16.006 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=16.021 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=16.023 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=16.023 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=16.039 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=16.039 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=16.056 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=16.056 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=16.073 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=16.073 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=16.089 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=16.089 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=16.106 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=16.106 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=16.122 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=16.122 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=16.139 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=16.139 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=16.156 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=16.156 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=16.173 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=16.173 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=16.189 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=16.189 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=16.206 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=16.206 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=16.223 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=16.223 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=16.239 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=16.239 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=16.256 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=16.256 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=16.273 unit=creature:328 track=0 requested=4 played=4 kind=Exact
